Date,Low,High,Close,Open,Market Cap,Volume
"Nov 14, 2016",699.81,706.28,705.02,702.00,"11,214,600,000","62,993,000"
"Nov 13, 2016",687.32,705.26,702.03,705.20,"11,264,500,000","80,318,100"
"Nov 12, 2016",704.03,717.15,705.05,716.75,"11,447,700,000","64,622,500"
"Nov 11, 2016",714.41,718.32,716.41,715.55,"11,427,200,000","63,119,700"
"Nov 10, 2016",711.21,723.02,715.53,722.84,"11,542,100,000","68,807,800"
"Nov 09, 2016",708.61,740.05,723.27,709.83,"11,333,000,000","132,429,000"
"Nov 08, 2016",702.39,712.99,709.85,703.09,"11,224,000,000","79,660,800"
"Nov 07, 2016",699.90,710.74,703.13,710.74,"11,344,800,000","65,047,100"
"Nov 06, 2016",699.56,714.26,711.52,703.81,"11,233,000,000","59,902,200"
"Nov 05, 2016",697.74,707.51,703.42,703.52,"11,227,200,000","53,752,300"
"Nov 04, 2016",685.56,706.93,703.24,689.12,"10,996,400,000","99,907,700"
"Nov 03, 2016",678.16,745.77,688.70,742.35,"11,844,300,000","172,808,000"
"Nov 02, 2016",722.35,740.83,740.83,730.07,"11,647,200,000","84,865,200"
"Nov 01, 2016",701.34,736.45,729.79,701.34,"11,187,700,000","130,527,000"
"Oct 31, 2016",691.68,709.29,700.97,702.64,"11,207,200,000","97,064,400"
"Oct 30, 2016",696.48,714.12,701.86,714.12,"11,388,800,000","100,665,000"
"Oct 29, 2016",690.05,720.40,714.48,690.29,"11,007,600,000","134,761,000"
"Oct 28, 2016",684.16,690.44,689.65,688.00,"10,969,800,000","81,145,500"
"Oct 27, 2016",678.04,688.59,688.31,678.21,"10,812,500,000","96,105,300"
"Oct 26, 2016",657.68,679.73,678.30,657.68,"10,484,000,000","88,877,100"
"Oct 25, 2016",653.70,664.42,657.59,654.00,"10,424,300,000","90,378,800"
"Oct 24, 2016",652.60,657.25,653.76,657.16,"10,473,500,000","62,218,200"
"Oct 23, 2016",653.89,661.13,657.07,657.62,"10,479,700,000","54,474,600"
"Oct 22, 2016",632.85,658.20,657.29,633.14,"10,088,400,000","78,556,500"
"Oct 21, 2016",630.69,634.09,632.83,630.83,"10,050,300,000","55,951,000"
"Oct 20, 2016",628.26,631.92,630.86,630.66,"10,046,700,000","56,957,300"
"Oct 19, 2016",628.01,638.87,630.52,638.13,"10,164,800,000","69,381,700"
"Oct 18, 2016",636.00,640.74,637.96,639.41,"10,184,000,000","65,546,700"
"Oct 17, 2016",638.66,642.33,639.19,641.82,"10,221,300,000","58,063,600"
"Oct 16, 2016",638.90,642.90,641.63,639.08,"10,176,800,000","40,298,100"
"Oct 15, 2016",637.39,642.10,638.65,640.31,"10,195,200,000","39,035,400"
"Oct 14, 2016",637.01,641.28,640.38,637.01,"10,141,600,000","58,144,600"
"Oct 13, 2016",635.03,638.83,636.79,636.03,"10,125,100,000","61,620,700"
"Oct 12, 2016",635.97,641.34,636.19,640.87,"10,201,000,000","92,370,200"
"Oct 11, 2016",618.50,642.08,641.07,619.24,"9,855,650,000","103,590,000"
"Oct 10, 2016",616.20,621.32,618.99,616.82,"9,816,270,000","67,481,100"
"Oct 09, 2016",616.61,619.20,616.75,619.17,"9,852,480,000","39,243,400"
"Oct 08, 2016",617.34,619.85,619.11,617.34,"9,822,100,000","42,345,900"
"Oct 07, 2016",611.82,617.91,617.12,612.61,"9,745,740,000","64,071,400"
"Oct 06, 2016",611.47,613.82,613.02,612.47,"9,742,370,000","56,812,100"
"Oct 05, 2016",609.62,613.81,612.51,610.22,"9,705,320,000","68,077,500"
"Oct 04, 2016",609.48,612.05,610.20,612.05,"9,733,330,000","49,801,600"
"Oct 03, 2016",610.46,612.57,612.13,610.97,"9,714,980,000","46,798,300"
"Oct 02, 2016",609.68,614.00,610.89,613.95,"9,761,330,000","39,249,800"
"Oct 01, 2016",609.93,615.24,613.98,609.93,"9,696,280,000","56,357,000"
"Sep 30, 2016",604.14,609.74,609.74,605.72,"9,628,250,000","56,122,400"
"Sep 29, 2016",604.85,606.82,605.69,605.02,"9,616,160,000","55,658,600"
"Sep 28, 2016",604.61,606.59,604.73,606.24,"9,634,530,000","48,722,600"
